,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,kaya,13.09,-1.08,83.93,57,0,8.21,BF,1596059136
325,yashan,22.2,109.94,77.86,92,42,1.68,CN,1596059136
326,san pedro del parana,-26.83,-56.2,55.4,57,0,5.82,PY,1596059137
327,dong hoi,17.48,106.6,79.79,81,48,4.79,VN,1596059137
328,pokhara,28.23,83.98,70.9,81,97,0.51,NP,1596059137
329,west wendover,40.74,-114.07,91.4,18,1,9.17,US,1596059137
330,mushie,-3.02,16.9,85.5,40,100,3.18,CD,1596059137
331,lavrentiya,65.58,-171.0,49.53,83,93,10.69,RU,1596058760
332,presidencia roque saenz pena,-26.79,-60.44,48.9,50,26,5.57,AR,1596058971
333,kavaratti,10.57,72.64,81.75,78,100,17.27,IN,1596058855
334,yar-sale,66.83,70.83,50.65,78,96,6.4,RU,1596058757
335,massakory,13.0,15.73,85.82,54,27,11.36,TD,1596059138
336,ozinki,51.18,49.68,68.56,52,0,1.59,RU,1596059139
337,kawalu,-7.38,108.21,64.36,91,13,1.3,ID,1596059139
338,santa ines,-3.67,-45.38,78.62,59,0,2.13,BR,1596059139
339,bonthe,7.53,-12.51,76.51,84,97,10.83,SL,1596059139
340,namibe,-15.2,12.15,62.83,82,84,6.06,AO,1596058795
341,agirish,61.92,63.02,49.3,92,100,6.53,RU,1596059140
342,juneau,58.3,-134.42,64.4,63,1,11.41,US,1596059140
343,vila velha,-20.33,-40.29,79.0,73,20,4.7,BR,1596058777
344,vissenbjerg,55.38,10.14,57.2,76,66,5.82,DK,1596059140
345,ruwi,23.6,58.55,100.4,27,51,3.36,OM,1596059140
346,vinh,18.67,105.67,79.2,81,25,4.09,VN,1596059141
347,iqaluit,63.75,-68.51,71.6,43,40,21.92,CA,1596058858
348,port lincoln,-34.73,135.87,51.04,87,0,3.98,AU,1596059141
349,cortez,37.35,-108.59,91.4,14,1,13.91,US,1596059141
350,tumwater,47.01,-122.91,86.0,28,1,8.05,US,1596059076
351,saint-francois,46.42,3.91,68.0,56,0,2.24,FR,1596059142
352,karratha,-20.74,116.85,66.42,44,0,10.11,AU,1596058785
353,santa cruz,-17.8,-63.17,68.0,30,75,13.87,BO,1596058958
354,mirnyy,62.54,113.96,46.4,93,64,8.95,RU,1596059142
355,atasu,48.68,71.64,58.26,59,0,5.55,KZ,1596059142
356,sabang,5.89,95.32,82.49,76,100,6.26,ID,1596059143
357,gorom-gorom,14.44,-0.24,92.01,39,0,7.18,BF,1596059143
358,goya,-29.14,-59.26,45.57,61,0,5.12,AR,1596058968
359,tammisaari,59.97,23.43,55.99,93,0,10.11,FI,1596059143
360,inuvik,68.35,-133.72,50.0,87,75,5.82,CA,1596059143
